course_title,course_by,skills,course_rating,url,course_students_enrolled,reviews,course_difficulty,course_type,course_time
Agile Project Management,Google," Agile Software Development, Software Engineering, Project Management, Scrum (Software Development), Strategy and Operations, Collaboration, Leadership and Management, Communication, Entrepreneurship, Product Management, Influencing, Problem Solving",4.8,https://www.coursera.org/learn/agile-project-management,364660,11000,Beginner,Course,1 - 4 Weeks
Machine Learning on Google Cloud,Google Cloud," Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",4.5,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,90040,9600,Intermediate,Specialization,3 - 6 Months
Introduction to Marketing,University of Pennsylvania," Brand Management, Customer Analysis, Market Analysis, Marketing, Marketing Design, Product Marketing, Product Strategy, Strategy, Digital Marketing, Leadership and Management, Communication",4.8,https://www.coursera.org/learn/wharton-marketing,93061,13000,Mixed,Course,1 - 3 Months
The Singer Songwriter,Berklee," Creativity, Writing",4.8,https://www.coursera.org/specializations/singer-songwriter,22093,4200,Beginner,Specialization,3 - 6 Months
AI & Law,Lund University," Human Computer Interaction, Human Learning, Machine Learning, Applied Machine Learning, Decision Making, Machine Learning Algorithms, Critical Thinking, Leadership and Management, Process Analysis, Regulations and Compliance",4.7,https://www.coursera.org/learn/ai-law,26023,397,Beginner,Course,1 - 4 Weeks
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem," Computational Logic, Computer Architecture, Computer Programming, Hardware Design, Theoretical Computer Science, Computer Programming Tools, Critical Thinking, Problem Solving, Systems Design",4.9,https://www.coursera.org/learn/build-a-computer,150886,3500,Mixed,Course,1 - 3 Months
Branding: The Creative Journey,IE Business School," Brand Management, Marketing, Leadership and Management, Advertising, Communication, Strategy, Creativity, Strategy and Operations, User Experience, Customer Analysis, Design and Product, Media Strategy & Planning, Customer Relationship Management, Customer Success, Customer Support, Social Media, Storytelling, User Experience Design, Visual Design, Graphic Design, Journalism",4.6,https://www.coursera.org/specializations/branding-the-creative-journey,129803,1400,Beginner,Specialization,3 - 6 Months
The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London," Human Resources, Leadership and Management, People Management, Conflict Management, Decision Making, Human Resources Operations, People Analysis, Performance Management, Recruitment, Business Analysis, Employee Relations, Leadership Development, Organizational Development, People Development",4.7,https://www.coursera.org/learn/people-management,147248,3600,Mixed,Course,1 - 3 Months
Talent Acquisition,HRCI," Mergers & Acquisitions, Recruitment",4.8,https://www.coursera.org/learn/talent-acquisition,15469,289,Beginner,Course,1 - 4 Weeks
Convolutional Neural Networks in TensorFlow,DeepLearning.AI," Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Human Learning, Tensorflow, Python Programming, Machine Learning Software",4.7,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,122100,8000,Intermediate,Course,1 - 4 Weeks
Epidemiology in Public Health Practice,Johns Hopkins University," Epidemiology, Data Analysis, Data Visualization, Problem Solving, Estimation",4.7,https://www.coursera.org/specializations/professional-epidemiology,59402,4200,Beginner,Specialization,3 - 6 Months
Foundations of Data Structures and Algorithms,University of Colorado Boulder," Algorithms, Theoretical Computer Science, Data Structures, Computer Programming, Graph Theory, Problem Solving, Computational Logic, Computational Thinking, Mathematical Theory & Analysis, Mathematics, Applied Mathematics, Python Programming",4.6,https://www.coursera.org/specializations/boulder-data-structures-algorithms,75444,393,Advanced,Specialization,3 - 6 Months
Design a User Experience for Social Good & Prepare for Jobs,Google," User Experience, Social Media, User Research, Web Design",4.8,https://www.coursera.org/learn/ux-design-jobs,27902,3000,Beginner,Course,1 - 3 Months
Learn English: Intermediate Grammar,"University of California, Irvine"," Writing, Communication",4.8,https://www.coursera.org/specializations/intermediate-grammar,121485,5100,Intermediate,Specialization,3 - 6 Months
Google UX Design (DE),Google," Design and Product, User Experience Design, User Experience",4.4,https://www.coursera.org/professional-certificates/google-ux-design-de,885742,38,Beginner,Professional Certificate,3 - 6 Months
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania, Health,4.8,https://www.coursera.org/learn/vital-signs,349514,6100,Mixed,Course,1 - 3 Months
Write Professional Emails in English,Georgia Institute of Technology," Writing, Business Communication, Professional Development",4.8,https://www.coursera.org/learn/professional-emails-english,912865,17000,Mixed,Course,1 - 3 Months
Fundamentals of Reinforcement Learning,University of Alberta," Machine Learning, Reinforcement Learning, Machine Learning Algorithms, Python Programming, Statistical Programming, Computer Programming, Decision Making",4.8,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,206775,2700,Intermediate,Course,1 - 3 Months
Managing Cybersecurity,University System of Georgia," Security Engineering, System Security, Risk Management, Computer Security Incident Management, Leadership and Management, Security Strategy, Network Security, Strategy, Cyberattacks, Strategy and Operations, Computer Security Models, Software Security, Security Software, Computer Networking, Planning, Business Analysis, Network Architecture, Networking Hardware, Organizational Development, Operations Management, Cryptography, Network Model, Project Management, Software As A Service, Cloud Computing",4.8,https://www.coursera.org/specializations/managing-cybersecurity,12099,1100,Beginner,Specialization,3 - 6 Months
TensorFlow: Data and Deployment,DeepLearning.AI," Machine Learning, Applied Machine Learning, Deep Learning, Tensorflow, Computer Programming, Javascript, Artificial Neural Networks, Python Programming, Data Model, Machine Learning Software, Mobile Development, Web Development, Computer Vision, Mobile Development Tools, Extract, Transform, Load, Software Framework, Visualization (Computer Graphics), iOS Development",4.6,https://www.coursera.org/specializations/tensorflow-data-and-deployment,32969,1400,Intermediate,Specialization,3 - 6 Months
Learning Linux for LFCA Certification,LearnQuest," Operating Systems, Linux, System Software, Cloud Computing, Computer Networking, DevOps, Network Security, Cloud Platforms, Computer Programming Tools, Software Engineering Tools, System Security, Application Development, Cloud Applications, Devops Tools, Security Engineering, System Programming, Information Technology",4.5,https://www.coursera.org/specializations/linux-for-lfca-certification,14893,849,Beginner,Specialization,3 - 6 Months
Teach English Now! Foundational Principles,Arizona State University, Mergers & Acquisitions,4.9,https://www.coursera.org/learn/english-principles,208021,14000,Mixed,Course,1 - 3 Months
Interaction Design,University of California San Diego," Probability & Statistics, Experiment, Statistical Tests, Human Computer Interaction, User Experience, R Programming, Statistical Programming, User Experience Design, Data Analysis, General Statistics, Statistical Analysis, User Research, Visual Design, Probability Distribution, Regression, Collaboration",4.5,https://www.coursera.org/specializations/interaction-design,61409,3900,Intermediate,Specialization,3 - 6 Months
Arts and Heritage Management,Università Bocconi," Leadership and Management, Marketing, Strategy, Communication, Customer Relationship Management, Organizational Development, Strategy and Operations, Brand Management, Business Process Management, Culture",4.8,https://www.coursera.org/learn/arts-heritage,3002,1300,Mixed,Course,1 - 3 Months
Foundations of Data Science,Google," Communication, Data Analysis, Planning, Project Management",4.7,https://www.coursera.org/learn/foundations-of-data-science,364927,1500,Advanced,Course,1 - 3 Months
Data Science Math Skills,Duke University," Data Analysis, General Statistics, Probability & Statistics, Problem Solving, Statistical Analysis, Algebra, Calculus, Critical Thinking",4.5,https://www.coursera.org/learn/datasciencemathskills,482014,12000,Beginner,Course,1 - 3 Months
The Power of Statistics,Google," General Statistics, Probability Distribution, Python Programming, Statistical Analysis",4.8,https://www.coursera.org/learn/the-power-of-statistics,22700,351,Advanced,Course,1 - 3 Months
Data Science Foundations: Statistical Inference,University of Colorado Boulder," Probability & Statistics, General Statistics, Probability Distribution, Estimation, Statistical Tests, Mathematics, Correlation And Dependence, Calculus",4.4,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications,108397,186,Intermediate,Specialization,3 - 6 Months
Applied Data Science with R,IBM," Data Analysis, R Programming, Computer Programming, Statistical Programming, Data Management, Data Visualization, Databases, Exploratory Data Analysis, Statistical Analysis, Data Analysis Software, Data Structures, Plot (Graphics), Statistical Visualization, Basic Descriptive Statistics, Interactive Data Visualization, SQL, Database Application, Extract, Transform, Load, General Statistics, Visualization (Computer Graphics), Programming Principles, Data Model, Database Administration, Database Design, Database Theory, Computer Programming Tools, Correlation And Dependence, Visual Design, Statistical Tests, Data Science",4.5,https://www.coursera.org/specializations/applied-data-science-r,392217,845,Beginner,Specialization,3 - 6 Months
The Path to Insights: Data Models and Pipelines,Google," Data Management, Data Model, Extract, Transform, Load",4.7,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines,18866,313,Advanced,Course,1 - 4 Weeks
"Decisions, Decisions: Dashboards and Reports",Google," Business Intelligence, Data Model, Data Visualization, Tableau Software",4.8,https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,179076,428,Advanced,Course,1 - 3 Months
Foundations of Business Intelligence,Google," Business Intelligence, Data Analysis, Leadership and Management",4.8,https://www.coursera.org/learn/foundations-of-business-intelligence,17984,783,Advanced,Course,1 - 4 Weeks
"Sequences, Time Series and Prediction",DeepLearning.AI," Machine Learning, Forecasting, Tensorflow, Applied Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Data Visualization, Machine Learning Algorithms, Statistical Analysis",4.7,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,125323,4900,Intermediate,Course,1 - 4 Weeks
Prepare Data for Exploration,Google," Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software",4.8,https://www.coursera.org/learn/data-preparation,645914,18000,Beginner,Course,1 - 3 Months
Decentralized Finance (DeFi): The Future of Finance,Duke University," BlockChain, FinTech, Finance, Algorithms, Cryptography, Payments, Banking, Risk Management, Contract Management, Computational Logic, Innovation, Regulations and Compliance, Securities Trading, Strategy and Operations, Cyberattacks, Financial Analysis, Investment Management, Security Engineering",4.8,https://www.coursera.org/specializations/decentralized-finance-duke,60101,1700,Intermediate,Specialization,3 - 6 Months
Blockchain Revolution,INSEAD," BlockChain, Finance, FinTech, Innovation, Cryptography, Strategy and Operations, System Security, Distributed Computing Architecture, Leadership and Management, Contract Management, Entrepreneurship, Network Model, Network Security, Regulations and Compliance, Research and Design, Strategy, Human Resources, Risk Management, Software Security, Recruitment",4.7,https://www.coursera.org/specializations/blockchain-revolution-enterprise,35549,2900,Beginner,Specialization,3 - 6 Months
Blockchain Revolution in Financial Services,INSEAD," BlockChain, Finance, Cryptography, FinTech, Business Transformation, Innovation, Distributed Computing Architecture, Payments, Leadership and Management, System Security, Network Security, Accounting, Banking, Business Process Management, Contract Management, Financial Accounting, Financial Management, Problem Solving, Security Strategy",4.7,https://www.coursera.org/specializations/blockchain-financial-services,108717,934,Beginner,Specialization,3 - 6 Months
Python for Cybersecurity,Infosec," Python Programming, Computer Programming",4.5,https://www.coursera.org/specializations/pythonforcybersecurity,12936,349,Intermediate,Specialization,3 - 6 Months
Cryptography I,Stanford University," Algorithms, Cryptography, Mathematics, Security Engineering, Theoretical Computer Science, Probability & Statistics, Critical Thinking, Mathematical Theory & Analysis, Computer Security Models, Probability Distribution",4.8,https://www.coursera.org/learn/crypto,118242,4200,Mixed,Course,1 - 3 Months
Security Principles,ISC2, Leadership and Management,4.7,https://www.coursera.org/learn/-security-principles,10313,245,Beginner,Course,1 - 3 Months
Generative AI with Large Language Models,DeepLearning.AI," Machine Learning, Natural Language Processing, Python Programming",4.8,https://www.coursera.org/learn/generative-ai-with-llms,38552,1600,Intermediate,Course,1 - 4 Weeks
Neural Networks and Deep Learning,DeepLearning.AI," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computational Logic, Computer Programming, Network Architecture, Network Model, Calculus, Human Learning, Regression, Mathematics",4.9,https://www.coursera.org/learn/neural-networks-deep-learning,38677,120000,Intermediate,Course,1 - 4 Weeks
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI," Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,https://www.coursera.org/learn/deep-neural-network,520132,63000,Intermediate,Course,1 - 4 Weeks
Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University," Business Analysis, Data Analysis, Data Visualization, Spreadsheet Software, Data Model, Decision Making, Microsoft Excel, Process Analysis, Statistical Visualization",4.8,https://www.coursera.org/learn/business-analytics-excel,174950,1300,Intermediate,Course,1 - 3 Months
Google Professional Workspace Administrator,Google Cloud," Leadership and Management, Account Management, Google Cloud Platform, Cloud Management, System Security, Cloud Applications, Cloud Platforms, Security Engineering, Operations Management, Software Security, Network Security, Cloud Computing, Data Management, Security Strategy, Cloud Infrastructure, Organizational Development, Other Cloud Platforms and Tools, Change Management, Cloud-Based Integration, Database Administration, Collaboration, Software As A Service, Strategy and Operations, Computer Security Incident Management, Planning, Strategy, Security Software, Project Management, Accounting",4.7,https://www.coursera.org/professional-certificates/g-suite-administration,18033,2900,Beginner,Professional Certificate,1 - 4 Weeks
Python Project for Data Science,IBM," Python Programming, Computer Programming, Data Analysis, Data Science",4.5,https://www.coursera.org/learn/python-project-for-data-science,165927,3800,Intermediate,Course,1 - 4 Weeks
Human Resources Analytics,"University of California, Irvine"," Human Resources, People Analysis, Business Analysis, Employee Relations, Human Resources Operations, Leadership and Management, People Development, Communication, Data Visualization, Influencing, Storytelling, Data Analysis",4.6,https://www.coursera.org/learn/human-resources-analytics,82073,1400,Mixed,Course,1 - 4 Weeks
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk," Computer Graphics, Computer Graphic Techniques, Design and Product, Feature Engineering, Research and Design, Software Architecture, Software Engineering, User Experience Design, Visualization (Computer Graphics)",4.7,https://www.coursera.org/learn/autodesk-autocad-design-drafting,54405,2500,Advanced,Course,1 - 4 Weeks
Natural Language Processing with Attention Models,DeepLearning.AI," Artificial Neural Networks, Deep Learning, Natural Language Processing, Machine Learning, Python Programming, Statistical Programming",4.4,https://www.coursera.org/learn/attention-models-in-nlp,131516,949,Intermediate,Course,1 - 4 Weeks
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology," Basic Descriptive Statistics, Computer Programming, Data Analysis, Finance, Financial Analysis, Probability & Statistics, Python Programming, Statistical Analysis, General Statistics, Probability Distribution, Statistical Programming, Data Visualization",4.4,https://www.coursera.org/learn/python-statistics-financial-analysis,205510,4000,Intermediate,Course,1 - 4 Weeks
